Index,ICD-10 Code,Top10,DiagnosisEntity,CCSR Category,Diagnosis,Notes
391,E133543,Diabetic retinopathy,PDR w/ DME,EYE005,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal  detachment and rhegmatogenous retinal detachment, bilateral  ",
392,E133549,Diabetic retinopathy,PDR w/ DME,EYE005,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal  detachment and rhegmatogenous retinal detachment, unspecified  eye",
393,E133551,Diabetic retinopathy,"PDR, stable",EYE005,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, right eye          ",
394,E133552,Diabetic retinopathy,"PDR, stable",EYE005,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, left eye          ",
395,E133553,Diabetic retinopathy,"PDR, stable",EYE005,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, bilateral           ",
396,E133559,Diabetic retinopathy,"PDR, stable",EYE005,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye          ",
397,E133591,Diabetic retinopathy,PDR w/o DME,EYE005,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, right  eye       ",
398,E133592,Diabetic retinopathy,PDR w/o DME,EYE005,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, left  eye       ",
399,E133593,Diabetic retinopathy,PDR w/o DME,EYE005,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral         ",
400,E133599,Diabetic retinopathy,PDR w/o DME,EYE005,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified  eye       ",
401,E1336,Diabetic retinopathy,diabetic cataract,EYE002,Other specified diabetes mellitus with diabetic cataract              ,
402,E1337X1,Diabetic retinopathy,DME resolved after tx,EYE005,"Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, right  eye       ",
403,E1337X2,Diabetic retinopathy,DME resolved after tx,EYE005,"Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, left  eye       ",
404,E1337X3,Diabetic retinopathy,DME resolved after tx,EYE005,"Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral         ",
405,E1337X9,Diabetic retinopathy,DME resolved after tx,EYE005,"Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified  eye       ",
406,E1339,Diabetic retinopathy,other diabetic ophthalmic compl,EYE005,Other specified diabetes mellitus with other diabetic ophthalmic complication            ,
407,G245,Blepharospasm                    ,blepharospasm                    ,EYE006,Blepharospasm                    ,
408,H00011,Hordeolum and other deep inflammation of eyelid,hordeolum,EYE001,Hordeolum externum right upper eyelid                ,
409,H00012,Hordeolum and other deep inflammation of eyelid,hordeolum,EYE001,Hordeolum externum right lower eyelid                ,
410,H00013,Hordeolum and other deep inflammation of eyelid,hordeolum,EYE001,"Hordeolum externum right eye, unspecified eyelid               ",
411,H00014,Hordeolum and other deep inflammation of eyelid,hordeolum,EYE001,Hordeolum externum left upper eyelid                ,
412,H00015,Hordeolum and other deep inflammation of eyelid,hordeolum,EYE001,Hordeolum externum left lower eyelid                ,
413,H00016,Hordeolum and other deep inflammation of eyelid,hordeolum,EYE001,"Hordeolum externum left eye, unspecified eyelid               ",
414,H00019,Hordeolum and other deep inflammation of eyelid,hordeolum,EYE001,"Hordeolum externum unspecified eye, unspecified eyelid               ",
415,H00021,Hordeolum and other deep inflammation of eyelid,hordeolum,EYE001,Hordeolum internum right upper eyelid                ,
416,H00022,Hordeolum and other deep inflammation of eyelid,hordeolum,EYE001,Hordeolum internum right lower eyelid                ,
417,H00023,Hordeolum and other deep inflammation of eyelid,hordeolum,EYE001,"Hordeolum internum right eye, unspecified eyelid               ",
418,H00024,Hordeolum and other deep inflammation of eyelid,hordeolum,EYE001,Hordeolum internum left upper eyelid                ,
419,H00025,Hordeolum and other deep inflammation of eyelid,hordeolum,EYE001,Hordeolum internum left lower eyelid                ,
420,H00026,Hordeolum and other deep inflammation of eyelid,hordeolum,EYE001,"Hordeolum internum left eye, unspecified eyelid               ",
421,H00029,Hordeolum and other deep inflammation of eyelid,hordeolum,EYE001,"Hordeolum internum unspecified eye, unspecified eyelid               ",
422,H00031,Hordeolum and other deep inflammation of eyelid,hordeolum,EYE001,Abscess of right upper eyelid                ,
423,H00032,Hordeolum and other deep inflammation of eyelid,hordeolum,EYE001,Abscess of right lower eyelid                ,
424,H00033,Hordeolum and other deep inflammation of eyelid,hordeolum,EYE001,"Abscess of eyelid right eye, unspecified eyelid              ",
425,H00034,Hordeolum and other deep inflammation of eyelid,hordeolum,EYE001,Abscess of left upper eyelid                ,
426,H00035,Hordeolum and other deep inflammation of eyelid,hordeolum,EYE001,Abscess of left lower eyelid                ,
427,H00036,Hordeolum and other deep inflammation of eyelid,hordeolum,EYE001,"Abscess of eyelid left eye, unspecified eyelid              ",
428,H00039,Hordeolum and other deep inflammation of eyelid,hordeolum,EYE001,"Abscess of eyelid unspecified eye, unspecified eyelid              ",
429,H0011,Chalazion,chalazion,EYE001,Chalazion right upper eyelid                 ,
430,H0012,Chalazion,chalazion,EYE001,Chalazion right lower eyelid                 ,
431,H0013,Chalazion,chalazion,EYE001,"Chalazion right eye, unspecified eyelid                ",
432,H0014,Chalazion,chalazion,EYE001,Chalazion left upper eyelid                 ,
433,H0015,Chalazion,chalazion,EYE001,Chalazion left lower eyelid                 ,
434,H0016,Chalazion,chalazion,EYE001,"Chalazion left eye, unspecified eyelid                ",
435,H0019,Chalazion,chalazion,EYE001,"Chalazion unspecified eye, unspecified eyelid                ",
436,H01001,Blepharitis,blepharitis,EYE001,Unspecified blepharitis right upper eyelid                ,
437,H01002,Blepharitis,blepharitis,EYE001,Unspecified blepharitis right lower eyelid                ,
438,H01003,Blepharitis,blepharitis,EYE001,"Unspecified blepharitis right eye, unspecified eyelid               ",
439,H01004,Blepharitis,blepharitis,EYE001,Unspecified blepharitis left upper eyelid                ,
440,H01005,Blepharitis,blepharitis,EYE001,Unspecified blepharitis left lower eyelid                ,
441,H01006,Blepharitis,blepharitis,EYE001,"Unspecified blepharitis left eye, unspecified eyelid               ",
442,H01009,Blepharitis,blepharitis,EYE001,"Unspecified blepharitis unspecified eye, unspecified eyelid               ",
443,H01011,Blepharitis,blepharitis,EYE001,Ulcerative blepharitis right upper eyelid                ,
444,H01012,Blepharitis,blepharitis,EYE001,Ulcerative blepharitis right lower eyelid                ,
445,H01013,Blepharitis,blepharitis,EYE001,"Ulcerative blepharitis right eye, unspecified eyelid               ",
446,H01014,Blepharitis,blepharitis,EYE001,Ulcerative blepharitis left upper eyelid                ,
447,H01015,Blepharitis,blepharitis,EYE001,Ulcerative blepharitis left lower eyelid                ,
448,H01016,Blepharitis,blepharitis,EYE001,"Ulcerative blepharitis left eye, unspecified eyelid               ",
449,H01019,Blepharitis,blepharitis,EYE001,"Ulcerative blepharitis unspecified eye, unspecified eyelid               ",
450,H01021,Blepharitis,blepharitis,EYE001,Squamous blepharitis right upper eyelid                ,
451,H01022,Blepharitis,blepharitis,EYE001,Squamous blepharitis right lower eyelid                ,
452,H01023,Blepharitis,blepharitis,EYE001,"Squamous blepharitis right eye, unspecified eyelid               ",
453,H01024,Blepharitis,blepharitis,EYE001,Squamous blepharitis left upper eyelid                ,
454,H01025,Blepharitis,blepharitis,EYE001,Squamous blepharitis left lower eyelid                ,
455,H01026,Blepharitis,blepharitis,EYE001,"Squamous blepharitis left eye, unspecified eyelid               ",
456,H01029,Blepharitis,blepharitis,EYE001,"Squamous blepharitis unspecified eye, unspecified eyelid               ",
457,H01111,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,Allergic dermatitis of right upper eyelid               ,
458,H01112,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,Allergic dermatitis of right lower eyelid               ,
459,H01113,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,"Allergic dermatitis of right eye, unspecified eyelid              ",
460,H01114,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,Allergic dermatitis of left upper eyelid               ,
461,H01115,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,Allergic dermatitis of left lower eyelid               ,
462,H01116,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,"Allergic dermatitis of left eye, unspecified eyelid              ",
463,H01119,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,"Allergic dermatitis of unspecified eye, unspecified eyelid              ",
464,H01121,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,Discoid lupus erythematosus of right upper eyelid              ,
465,H01122,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,Discoid lupus erythematosus of right lower eyelid              ,
466,H01123,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,"Discoid lupus erythematosus of right eye, unspecified eyelid             ",
467,H01124,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,Discoid lupus erythematosus of left upper eyelid              ,
468,H01125,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,Discoid lupus erythematosus of left lower eyelid              ,
469,H01126,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,"Discoid lupus erythematosus of left eye, unspecified eyelid             ",
470,H01129,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,"Discoid lupus erythematosus of unspecified eye, unspecified eyelid             ",
471,H01131,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,Eczematous dermatitis of right upper eyelid               ,
472,H01132,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,Eczematous dermatitis of right lower eyelid               ,
473,H01133,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,"Eczematous dermatitis of right eye, unspecified eyelid              ",
474,H01134,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,Eczematous dermatitis of left upper eyelid               ,
475,H01135,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,Eczematous dermatitis of left lower eyelid               ,
476,H01136,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,"Eczematous dermatitis of left eye, unspecified eyelid              ",
477,H01139,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,"Eczematous dermatitis of unspecified eye, unspecified eyelid              ",
478,H01141,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,Xeroderma of right upper eyelid                ,
479,H01142,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,Xeroderma of right lower eyelid                ,
480,H01143,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,"Xeroderma of right eye, unspecified eyelid               ",
481,H01144,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,Xeroderma of left upper eyelid                ,
482,H01145,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,Xeroderma of left lower eyelid                ,
483,H01146,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,"Xeroderma of left eye, unspecified eyelid               ",
484,H01149,Noninfectious dermatoses of eyelid,eyelid dermatoses - noninfectious,EYE001,"Xeroderma of unspecified eye, unspecified eyelid               ",
485,H018,Other inflammations of eyelids,eyelid dermatoses - noninfectious,EYE001,Other specified inflammations of eyelid                ,
486,H019,Other inflammations of eyelids,eyelid dermatoses - noninfectious,EYE001,Unspecified inflammation of eyelid                 ,
487,H02001,Entropion and trichiasis of eyelid,entropion,EYE001,Unspecified entropion of right upper eyelid               ,
488,H02002,Entropion and trichiasis of eyelid,entropion,EYE001,Unspecified entropion of right lower eyelid               ,
489,H02003,Entropion and trichiasis of eyelid,entropion,EYE001,"Unspecified entropion of right eye, unspecified eyelid              ",
490,H02004,Entropion and trichiasis of eyelid,entropion,EYE001,Unspecified entropion of left upper eyelid               ,
491,H02005,Entropion and trichiasis of eyelid,entropion,EYE001,Unspecified entropion of left lower eyelid               ,
492,H02006,Entropion and trichiasis of eyelid,entropion,EYE001,"Unspecified entropion of left eye, unspecified eyelid              ",
493,H02009,Entropion and trichiasis of eyelid,entropion,EYE001,"Unspecified entropion of unspecified eye, unspecified eyelid              ",
494,H02011,Entropion and trichiasis of eyelid,entropion,EYE001,Cicatricial entropion of right upper eyelid               ,
495,H02012,Entropion and trichiasis of eyelid,entropion,EYE001,Cicatricial entropion of right lower eyelid               ,
496,H02013,Entropion and trichiasis of eyelid,entropion,EYE001,"Cicatricial entropion of right eye, unspecified eyelid              ",
497,H02014,Entropion and trichiasis of eyelid,entropion,EYE001,Cicatricial entropion of left upper eyelid               ,
498,H02015,Entropion and trichiasis of eyelid,entropion,EYE001,Cicatricial entropion of left lower eyelid               ,
499,H02016,Entropion and trichiasis of eyelid,entropion,EYE001,"Cicatricial entropion of left eye, unspecified eyelid              ",
500,H02019,Entropion and trichiasis of eyelid,entropion,EYE001,"Cicatricial entropion of unspecified eye, unspecified eyelid              ",
501,H02021,Entropion and trichiasis of eyelid,entropion,EYE001,Mechanical entropion of right upper eyelid               ,
502,H02022,Entropion and trichiasis of eyelid,entropion,EYE001,Mechanical entropion of right lower eyelid               ,
503,H02023,Entropion and trichiasis of eyelid,entropion,EYE001,"Mechanical entropion of right eye, unspecified eyelid              ",
504,H02024,Entropion and trichiasis of eyelid,entropion,EYE001,Mechanical entropion of left upper eyelid               ,
505,H02025,Entropion and trichiasis of eyelid,entropion,EYE001,Mechanical entropion of left lower eyelid               ,
506,H02026,Entropion and trichiasis of eyelid,entropion,EYE001,"Mechanical entropion of left eye, unspecified eyelid              ",
507,H02029,Entropion and trichiasis of eyelid,entropion,EYE001,"Mechanical entropion of unspecified eye, unspecified eyelid              ",
508,H02031,Entropion and trichiasis of eyelid,entropion,EYE001,Senile entropion of right upper eyelid               ,
509,H02032,Entropion and trichiasis of eyelid,entropion,EYE001,Senile entropion of right lower eyelid               ,
510,H02033,Entropion and trichiasis of eyelid,entropion,EYE001,"Senile entropion of right eye, unspecified eyelid              ",
511,H02034,Entropion and trichiasis of eyelid,entropion,EYE001,Senile entropion of left upper eyelid               ,
512,H02035,Entropion and trichiasis of eyelid,entropion,EYE001,Senile entropion of left lower eyelid               ,
513,H02036,Entropion and trichiasis of eyelid,entropion,EYE001,"Senile entropion of left eye, unspecified eyelid              ",
514,H02039,Entropion and trichiasis of eyelid,entropion,EYE001,"Senile entropion of unspecified eye, unspecified eyelid              ",
515,H02041,Entropion and trichiasis of eyelid,entropion,EYE001,Spastic entropion of right upper eyelid               ,
516,H02042,Entropion and trichiasis of eyelid,entropion,EYE001,Spastic entropion of right lower eyelid               ,
517,H02043,Entropion and trichiasis of eyelid,entropion,EYE001,"Spastic entropion of right eye, unspecified eyelid              ",
518,H02044,Entropion and trichiasis of eyelid,entropion,EYE001,Spastic entropion of left upper eyelid               ,
519,H02045,Entropion and trichiasis of eyelid,entropion,EYE001,Spastic entropion of left lower eyelid               ,
520,H02046,Entropion and trichiasis of eyelid,entropion,EYE001,"Spastic entropion of left eye, unspecified eyelid              ",
521,H02049,Entropion and trichiasis of eyelid,entropion,EYE001,"Spastic entropion of unspecified eye, unspecified eyelid              ",
522,H02051,Entropion and trichiasis of eyelid,trichiasis w/o entropion,EYE001,Trichiasis without entropion right upper eyelid               ,
523,H02052,Entropion and trichiasis of eyelid,trichiasis w/o entropion,EYE001,Trichiasis without entropion right lower eyelid               ,
524,H02053,Entropion and trichiasis of eyelid,trichiasis w/o entropion,EYE001,"Trichiasis without entropion right eye, unspecified eyelid              ",
525,H02054,Entropion and trichiasis of eyelid,trichiasis w/o entropion,EYE001,Trichiasis without entropion left upper eyelid               ,
526,H02055,Entropion and trichiasis of eyelid,trichiasis w/o entropion,EYE001,Trichiasis without entropion left lower eyelid               ,
527,H02056,Entropion and trichiasis of eyelid,trichiasis w/o entropion,EYE001,"Trichiasis without entropion left eye, unspecified eyelid              ",
528,H02059,Entropion and trichiasis of eyelid,trichiasis w/o entropion,EYE001,"Trichiasis without entropion unspecified eye, unspecified eyelid              ",
529,H02101,Ectropion,ectropion,EYE001,Unspecified ectropion of right upper eyelid               ,
530,H02102,Ectropion,ectropion,EYE001,Unspecified ectropion of right lower eyelid               ,
531,H02103,Ectropion,ectropion,EYE001,"Unspecified ectropion of right eye, unspecified eyelid              ",
532,H02104,Ectropion,ectropion,EYE001,Unspecified ectropion of left upper eyelid               ,
533,H02105,Ectropion,ectropion,EYE001,Unspecified ectropion of left lower eyelid               ,
534,H02106,Ectropion,ectropion,EYE001,"Unspecified ectropion of left eye, unspecified eyelid              ",
535,H02109,Ectropion,ectropion,EYE001,"Unspecified ectropion of unspecified eye, unspecified eyelid              ",
536,H02111,Ectropion,ectropion,EYE001,Cicatricial ectropion of right upper eyelid               ,
537,H02112,Ectropion,ectropion,EYE001,Cicatricial ectropion of right lower eyelid               ,
538,H02113,Ectropion,ectropion,EYE001,"Cicatricial ectropion of right eye, unspecified eyelid              ",
539,H02114,Ectropion,ectropion,EYE001,Cicatricial ectropion of left upper eyelid               ,
540,H02115,Ectropion,ectropion,EYE001,Cicatricial ectropion of left lower eyelid               ,
541,H02116,Ectropion,ectropion,EYE001,"Cicatricial ectropion of left eye, unspecified eyelid              ",
542,H02119,Ectropion,ectropion,EYE001,"Cicatricial ectropion of unspecified eye, unspecified eyelid              ",
543,H02121,Ectropion,ectropion,EYE001,Mechanical ectropion of right upper eyelid               ,
544,H02122,Ectropion,ectropion,EYE001,Mechanical ectropion of right lower eyelid               ,
545,H02123,Ectropion,ectropion,EYE001,"Mechanical ectropion of right eye, unspecified eyelid              ",
546,H02124,Ectropion,ectropion,EYE001,Mechanical ectropion of left upper eyelid               ,
547,H02125,Ectropion,ectropion,EYE001,Mechanical ectropion of left lower eyelid               ,
548,H02126,Ectropion,ectropion,EYE001,"Mechanical ectropion of left eye, unspecified eyelid              ",
549,H02129,Ectropion,ectropion,EYE001,"Mechanical ectropion of unspecified eye, unspecified eyelid              ",
550,H02131,Ectropion,ectropion,EYE001,Senile ectropion of right upper eyelid               ,
551,H02132,Ectropion,ectropion,EYE001,Senile ectropion of right lower eyelid               ,
552,H02133,Ectropion,ectropion,EYE001,"Senile ectropion of right eye, unspecified eyelid              ",
553,H02134,Ectropion,ectropion,EYE001,Senile ectropion of left upper eyelid               ,
554,H02135,Ectropion,ectropion,EYE001,Senile ectropion of left lower eyelid               ,
555,H02136,Ectropion,ectropion,EYE001,"Senile ectropion of left eye, unspecified eyelid              ",
556,H02139,Ectropion,ectropion,EYE001,"Senile ectropion of unspecified eye, unspecified eyelid              ",
557,H02141,Ectropion,ectropion,EYE001,Spastic ectropion of right upper eyelid               ,
558,H02142,Ectropion,ectropion,EYE001,Spastic ectropion of right lower eyelid               ,
559,H02143,Ectropion,ectropion,EYE001,"Spastic ectropion of right eye, unspecified eyelid              ",
560,H02144,Ectropion,ectropion,EYE001,Spastic ectropion of left upper eyelid               ,
561,H02145,Ectropion,ectropion,EYE001,Spastic ectropion of left lower eyelid               ,
562,H02146,Ectropion,ectropion,EYE001,"Spastic ectropion of left eye, unspecified eyelid              ",
563,H02149,Ectropion,ectropion,EYE001,"Spastic ectropion of unspecified eye, unspecified eyelid              ",
564,H02201,Lagophthalmos,lagophthalmos,EYE001,Unspecified lagophthalmos right upper eyelid                ,
565,H02202,Lagophthalmos,lagophthalmos,EYE001,Unspecified lagophthalmos right lower eyelid                ,
566,H02203,Lagophthalmos,lagophthalmos,EYE001,"Unspecified lagophthalmos right eye, unspecified eyelid               ",
567,H02204,Lagophthalmos,lagophthalmos,EYE001,Unspecified lagophthalmos left upper eyelid                ,
568,H02205,Lagophthalmos,lagophthalmos,EYE001,Unspecified lagophthalmos left lower eyelid                ,
569,H02206,Lagophthalmos,lagophthalmos,EYE001,"Unspecified lagophthalmos left eye, unspecified eyelid               ",
570,H02209,Lagophthalmos,lagophthalmos,EYE001,"Unspecified lagophthalmos unspecified eye, unspecified eyelid               ",
571,H02211,Lagophthalmos,lagophthalmos,EYE001,Cicatricial lagophthalmos right upper eyelid                ,
572,H02212,Lagophthalmos,lagophthalmos,EYE001,Cicatricial lagophthalmos right lower eyelid                ,
573,H02213,Lagophthalmos,lagophthalmos,EYE001,"Cicatricial lagophthalmos right eye, unspecified eyelid               ",
574,H02214,Lagophthalmos,lagophthalmos,EYE001,Cicatricial lagophthalmos left upper eyelid                ,
575,H02215,Lagophthalmos,lagophthalmos,EYE001,Cicatricial lagophthalmos left lower eyelid                ,
576,H02216,Lagophthalmos,lagophthalmos,EYE001,"Cicatricial lagophthalmos left eye, unspecified eyelid               ",
577,H02219,Lagophthalmos,lagophthalmos,EYE001,"Cicatricial lagophthalmos unspecified eye, unspecified eyelid               ",
578,H02221,Lagophthalmos,lagophthalmos,EYE001,Mechanical lagophthalmos right upper eyelid                ,
579,H02222,Lagophthalmos,lagophthalmos,EYE001,Mechanical lagophthalmos right lower eyelid                ,
580,H02223,Lagophthalmos,lagophthalmos,EYE001,"Mechanical lagophthalmos right eye, unspecified eyelid               ",
581,H02224,Lagophthalmos,lagophthalmos,EYE001,Mechanical lagophthalmos left upper eyelid                ,
582,H02225,Lagophthalmos,lagophthalmos,EYE001,Mechanical lagophthalmos left lower eyelid                ,
583,H02226,Lagophthalmos,lagophthalmos,EYE001,"Mechanical lagophthalmos left eye, unspecified eyelid               ",
584,H02229,Lagophthalmos,lagophthalmos,EYE001,"Mechanical lagophthalmos unspecified eye, unspecified eyelid               ",
585,H02231,Lagophthalmos,lagophthalmos,EYE001,Paralytic lagophthalmos right upper eyelid                ,
586,H02232,Lagophthalmos,lagophthalmos,EYE001,Paralytic lagophthalmos right lower eyelid                ,
587,H02233,Lagophthalmos,lagophthalmos,EYE001,"Paralytic lagophthalmos right eye, unspecified eyelid               ",
588,H02234,Lagophthalmos,lagophthalmos,EYE001,Paralytic lagophthalmos left upper eyelid                ,
589,H02235,Lagophthalmos,lagophthalmos,EYE001,Paralytic lagophthalmos left lower eyelid                ,
590,H02236,Lagophthalmos,lagophthalmos,EYE001,"Paralytic lagophthalmos left eye, unspecified eyelid               ",
591,H02239,Lagophthalmos,lagophthalmos,EYE001,"Paralytic lagophthalmos unspecified eye, unspecified eyelid               ",
592,H0230,Ptosis of eyelid,blepharochalasis,EYE008,"Blepharochalasis unspecified eye, unspecified eyelid                ",
593,H0231,Ptosis of eyelid,blepharochalasis,EYE008,Blepharochalasis right upper eyelid                 ,
594,H0232,Ptosis of eyelid,blepharochalasis,EYE008,Blepharochalasis right lower eyelid                 ,
595,H0233,Ptosis of eyelid,blepharochalasis,EYE008,"Blepharochalasis right eye, unspecified eyelid                ",
596,H0234,Ptosis of eyelid,blepharochalasis,EYE008,Blepharochalasis left upper eyelid                 ,
597,H0235,Ptosis of eyelid,blepharochalasis,EYE008,Blepharochalasis left lower eyelid                 ,
598,H0236,Ptosis of eyelid,blepharochalasis,EYE008,"Blepharochalasis left eye, unspecified eyelid                ",
599,H02401,Ptosis of eyelid,ptosis,EYE008,Unspecified ptosis of right eyelid                ,
600,H02402,Ptosis of eyelid,ptosis,EYE008,Unspecified ptosis of left eyelid                ,
601,H02403,Ptosis of eyelid,ptosis,EYE008,Unspecified ptosis of bilateral eyelids                ,
602,H02409,Ptosis of eyelid,ptosis,EYE008,Unspecified ptosis of unspecified eyelid                ,
603,H02411,Ptosis of eyelid,ptosis,EYE008,Mechanical ptosis of right eyelid                ,
604,H02412,Ptosis of eyelid,ptosis,EYE008,Mechanical ptosis of left eyelid                ,
605,H02413,Ptosis of eyelid,ptosis,EYE008,Mechanical ptosis of bilateral eyelids                ,
606,H02419,Ptosis of eyelid,ptosis,EYE008,Mechanical ptosis of unspecified eyelid                ,
607,H02421,Ptosis of eyelid,ptosis,EYE008,Myogenic ptosis of right eyelid                ,
608,H02422,Ptosis of eyelid,ptosis,EYE008,Myogenic ptosis of left eyelid                ,
609,H02423,Ptosis of eyelid,ptosis,EYE008,Myogenic ptosis of bilateral eyelids                ,
610,H02429,Ptosis of eyelid,ptosis,EYE008,Myogenic ptosis of unspecified eyelid                ,
611,H02431,Ptosis of eyelid,ptosis,EYE008,Paralytic ptosis of right eyelid                ,
612,H02432,Ptosis of eyelid,ptosis,EYE008,Paralytic ptosis of left eyelid                ,
613,H02433,Ptosis of eyelid,ptosis,EYE008,Paralytic ptosis of bilateral eyelids                ,
614,H02439,Ptosis of eyelid,ptosis,EYE008,Paralytic ptosis unspecified eyelid                 ,
615,H02511,Other disorders affecting eyelid function,abnormal innervation syndrome,EYE008,Abnormal innervation syndrome right upper eyelid               ,"Low numbers (< 50), but complete TS data of H02.51%"
616,H02512,Other disorders affecting eyelid function,abnormal innervation syndrome,EYE008,Abnormal innervation syndrome right lower eyelid               ,"Low numbers (< 50), but complete TS data of H02.51%"
617,H02513,Other disorders affecting eyelid function,abnormal innervation syndrome,EYE008,"Abnormal innervation syndrome right eye, unspecified eyelid              ","Low numbers (< 50), but complete TS data of H02.51%"
618,H02514,Other disorders affecting eyelid function,abnormal innervation syndrome,EYE008,Abnormal innervation syndrome left upper eyelid               ,"Low numbers (< 50), but complete TS data of H02.51%"
619,H02515,Other disorders affecting eyelid function,abnormal innervation syndrome,EYE008,Abnormal innervation syndrome left lower eyelid               ,"Low numbers (< 50), but complete TS data of H02.51%"
620,H02516,Other disorders affecting eyelid function,abnormal innervation syndrome,EYE008,"Abnormal innervation syndrome left eye, unspecified eyelid              ","Low numbers (< 50), but complete TS data of H02.51%"
621,H02519,Other disorders affecting eyelid function,abnormal innervation syndrome,EYE008,"Abnormal innervation syndrome unspecified eye, unspecified eyelid              ","Low numbers (< 50), but complete TS data of H02.51%"
622,H02521,Other disorders affecting eyelid function,blepharophimosis,EYE008,Blepharophimosis right upper eyelid                 ,
623,H02522,Other disorders affecting eyelid function,blepharophimosis,EYE008,Blepharophimosis right lower eyelid                 ,
624,H02523,Other disorders affecting eyelid function,blepharophimosis,EYE008,"Blepharophimosis right eye, unspecified eyelid                ",
625,H02524,Other disorders affecting eyelid function,blepharophimosis,EYE008,Blepharophimosis left upper eyelid                 ,
626,H02525,Other disorders affecting eyelid function,blepharophimosis,EYE008,Blepharophimosis left lower eyelid                 ,
627,H02526,Other disorders affecting eyelid function,blepharophimosis,EYE008,"Blepharophimosis left eye, unspecified eyelid                ",
628,H02529,Other disorders affecting eyelid function,blepharophimosis,EYE008,"Blepharophimosis unspecified eye, unspecified lid                ",
629,H02531,Other disorders affecting eyelid function,eyelid retraction,EYE008,Eyelid retraction right upper eyelid                ,
630,H02532,Other disorders affecting eyelid function,eyelid retraction,EYE008,Eyelid retraction right lower eyelid                ,
631,H02533,Other disorders affecting eyelid function,eyelid retraction,EYE008,"Eyelid retraction right eye, unspecified eyelid               ",
632,H02534,Other disorders affecting eyelid function,eyelid retraction,EYE008,Eyelid retraction left upper eyelid                ,
633,H02535,Other disorders affecting eyelid function,eyelid retraction,EYE008,Eyelid retraction left lower eyelid                ,
634,H02536,Other disorders affecting eyelid function,eyelid retraction,EYE008,"Eyelid retraction left eye, unspecified eyelid               ",
635,H02539,Other disorders affecting eyelid function,eyelid retraction,EYE008,"Eyelid retraction unspecified eye, unspecified lid               ",
636,H0259,Other disorders affecting eyelid function,other eyelid function disorders,EYE008,Other disorders affecting eyelid function                ,
637,H0260,Degenerative disorders of eyelid and periocular area,xanthelasma,EYE008,"Xanthelasma of unspecified eye, unspecified eyelid               ",
638,H0261,Degenerative disorders of eyelid and periocular area,xanthelasma,EYE008,Xanthelasma of right upper eyelid                ,
639,H0262,Degenerative disorders of eyelid and periocular area,xanthelasma,EYE008,Xanthelasma of right lower eyelid                ,
