"","entity_name","meanQ32020","medianQ32020","upperboundQ32020","lowerboundQ32020","confintQ32020","pvalEmpricialQ32020","meanQ42020","medianQ42020","upperboundQ42020","lowerboundQ42020","confintQ42020","pvalEmpricialQ42020","meanQ12021","medianQ12021","upperboundQ12021","lowerboundQ12021","confintQ12021","pvalEmpricialQ12021","meanQ22021","medianQ22021","upperboundQ22021","lowerboundQ22021","confintQ22021","pvalEmpricialQ22021","meanQ32021","medianQ32021","upperboundQ32021","lowerboundQ32021","confintQ32021","pvalEmpricialQ32021","meanQ42021","medianQ42021","upperboundQ42021","lowerboundQ42021","confintQ42021","pvalEmpricialQ42021","meanAllpost","medianAllpost","upperboundAllpost","lowerboundAllpost","confintAllpost","pvalEmpricialAllpost"
"73","cataract, age-related","-0.123955748870233","-0.124078002504941","-0.0960879363747507","-0.150992242731726","(-0.151,-0.096)","0.00001","-0.147279778810408","-0.14740680924322","-0.119865925411809","-0.173835628348119","(-0.174,-0.12)","0.00001","-0.118790023473814","-0.119029527398791","-0.0869331264963777","-0.149460237244115","(-0.149,-0.087)","0.00001","-0.0977523258505202","-0.0979419653185031","-0.0657262084510509","-0.128781512982889","(-0.129,-0.066)","0.00001","-0.0895029440855968","-0.0897348071562881","-0.056825812843182","-0.121114954115674","(-0.121,-0.057)","0.00001","-0.141450323829258","-0.141588548771339","-0.110383990937326","-0.171311132336916","(-0.171,-0.11)","0.00001","-0.118299608898086","-0.118341768891465","-0.106315521425143","-0.130133677598046","(-0.13,-0.106)","0.00001"
"76","IOL displacement","-0.126928722709058","-0.127962534317608","-0.040093874481867","-0.20724862161373","(-0.207,-0.04)","0.00893","0.0299883350596378","0.0285859679557311","0.134469235731499","-0.0663933665150838","(-0.066,0.134)","0.54095","-0.0131490910870091","-0.0151581569358105","0.114736474105951","-0.130120359273264","(-0.13,0.115)","0.83413","-0.0798243779857958","-0.0818219382505475","0.0408113651773923","-0.188623717514139","(-0.189,0.041)","0.2018","-0.136879439448786","-0.138573480272795","-0.0255620174736693","-0.23860236438764","(-0.239,-0.026)","0.02998","0.198015774745084","0.194958067684349","0.360719636733095","0.0523608536612641","(0.052,0.361)","0.00292","-0.0179044880221912","-0.0182520844371579","0.0288968631481894","-0.0627240828520267","(-0.063,0.029)","0.44617"
"77","aphakia","-0.0604866256739595","-0.0611625103936313","-0.00241104272549435","-0.11489318623622","(-0.115,-0.002)","0.0465","-0.0922193995740124","-0.0928225588639018","-0.0360384071614403","-0.145333212822698","(-0.145,-0.036)","0.00261","-0.0273930440515438","-0.0279691550058252","0.0355725746275985","-0.0869228309594165","(-0.087,0.036)","0.39417","-0.013434309283715","-0.014126147909562","0.0510316327415187","-0.0732283460443384","(-0.073,0.051)","0.67178","0.018775260430171","0.0180457998397745","0.0858652292894911","-0.0437728972869714","(-0.044,0.086)","0.56061","-0.0256804200251345","-0.0263088952130267","0.038693943621525","-0.0860754580087004","(-0.086,0.039)","0.43107","-0.033218143401323","-0.033332624745053","-0.00898292848425525","-0.0568874102812491","(-0.057,-0.009)","0.00789"
"79","glaucoma, secondary to other eye dis","-0.155867196803017","-0.156214302342665","-0.116339977218837","-0.19386490919249","(-0.194,-0.116)","0.00001","-0.182204435568572","-0.182444214174788","-0.144037184890006","-0.218911435939689","(-0.219,-0.144)","0.00001","-0.150943814027112","-0.151269293996304","-0.107559151603868","-0.192401998455326","(-0.192,-0.108)","0.00001","-0.148229918420041","-0.148547239280491","-0.105334394046401","-0.189577954435044","(-0.19,-0.105)","0.00001","-0.174685393269569","-0.174973866775779","-0.133051634823514","-0.214930375259802","(-0.215,-0.133)","0.00001","-0.234814632965782","-0.235124036644044","-0.195931002116099","-0.272010767136937","(-0.272,-0.196)","0.00001","-0.168993720474607","-0.169031025387178","-0.152874342548447","-0.18486311344526","(-0.185,-0.153)","0.00001"
"80","recession of chamber angle","-0.0814498894865491","-0.0821520968242006","-0.0268040773629258","-0.13242727820422","(-0.132,-0.027)","0.005","-0.0954693764152182","-0.0961525000979621","-0.0420562157238713","-0.145659024095405","(-0.146,-0.042)","0.00112","-0.0505449434942418","-0.0511785284318889","0.00790630599925594","-0.105616328671248","(-0.106,0.008)","0.09632","-0.0518382163173703","-0.0524735705230097","0.00697413217327111","-0.107118006060035","(-0.107,0.007)","0.08936","-0.0661444271567154","-0.0669790527571666","-0.00750982251866732","-0.12069123870672","(-0.121,-0.008)","0.03215","-0.0973232429814087","-0.0979169904986595","-0.0407498484085768","-0.150087421116327","(-0.15,-0.041)","0.00165","-0.072162923901062","-0.0722706482021844","-0.0500527528815585","-0.0937335453519501","(-0.094,-0.05)","0.00001"
"81","glaucoma, absolute","-0.128860910797535","-0.129300298280759","-0.0822432107275648","-0.172911693030299","(-0.173,-0.082)","0.00001","-0.0986518132821047","-0.0992997031017166","-0.0495740846555232","-0.144779227641437","(-0.145,-0.05)","0.00016","-0.00574905644226605","-0.00627900233352309","0.0561178352954571","-0.0640719179160347","(-0.064,0.056)","0.85082","-0.0387471687383103","-0.0392060142350604","0.0193297720564434","-0.0940626946812002","(-0.094,0.019)","0.19543","-0.0312017780959833","-0.0318609276285627","0.0288912396883062","-0.0877641040938758","(-0.088,0.029)","0.30711","0.00190658994135017","0.00122789604385403","0.0654576827418402","-0.057613094811605","(-0.058,0.065)","0.95206","-0.0556357286635682","-0.0557195674781148","-0.0336285308849589","-0.077131319148422","(-0.077,-0.034)","0.00001"
"82","glaucoma, suspect","-0.121510678619127","-0.121672989186201","-0.0944000622604546","-0.147627649108624","(-0.148,-0.094)","0.00001","-0.170983238789072","-0.171045733270346","-0.145622460152182","-0.195569945340165","(-0.196,-0.146)","0.00001","-0.11962463645622","-0.119863594563092","-0.0890877991352653","-0.149149144858501","(-0.149,-0.089)","0.00001","-0.129473868049492","-0.129634157763268","-0.0998993066643755","-0.157909119469781","(-0.158,-0.1)","0.00001","-0.115915301533877","-0.116060977050305","-0.085693913453447","-0.145316320244856","(-0.145,-0.086)","0.00001","-0.179448286446521","-0.179604424282196","-0.15144846038145","-0.206505059671846","(-0.207,-0.151)","0.00001","-0.136695514754675","-0.136694840476613","-0.125548852424198","-0.147818533017562","(-0.148,-0.126)","0.00001"
"83","posterior synechiae (iris)","-0.173785663985659","-0.17405659032523","-0.134803160761461","-0.211091979376236","(-0.211,-0.135)","0.00001","-0.132174008854109","-0.132448191640911","-0.0913301970303717","-0.17110221387269","(-0.171,-0.091)","0.00001","-0.129854804562672","-0.130210178420935","-0.0800936503437189","-0.177600046898595","(-0.178,-0.08)","0.00001","-0.147012511513639","-0.147423289857536","-0.0988662790373878","-0.192849221900431","(-0.193,-0.099)","0.00001","-0.147418343553201","-0.147823406090877","-0.0991130376531716","-0.19371948582365","(-0.194,-0.099)","0.00001","-0.175067133195704","-0.175483059052541","-0.128030730465046","-0.220035087575452","(-0.22,-0.128)","0.00001","-0.1500582782227","-0.150090028151274","-0.132366893042051","-0.167629271526409","(-0.168,-0.132)","0.00001"
"84","glaucoma, secondary to drugs","-0.0747215626185793","-0.0748034443189118","-0.0483935333510981","-0.100443879377563","(-0.1,-0.048)","0.00001","-0.091005143177845","-0.0911643210042783","-0.064869195724237","-0.116249985267706","(-0.116,-0.065)","0.00001","-0.13782516429495","-0.137928218960637","-0.109947015092127","-0.164854494097708","(-0.165,-0.11)","0.00001","-0.180614524560722","-0.18076900066116","-0.154671899296022","-0.205934295366648","(-0.206,-0.155)","0.00001","-0.0864129408394163","-0.0865361950327668","-0.0560504034213824","-0.115545929663956","(-0.116,-0.056)","0.00001","-0.0919999082904473","-0.0920998810961128","-0.0620160222489588","-0.121320461006818","(-0.121,-0.062)","0.00001","-0.108864138121722","-0.108899512634064","-0.0979342177448565","-0.119605221028769","(-0.12,-0.098)","0.00001"
"85","glaucoma, other/unspec","-0.161482812476763","-0.161608402765457","-0.126093406815774","-0.195612738503983","(-0.196,-0.126)","0.00001","-0.196095081980167","-0.196309999846629","-0.162202663874097","-0.22857421408258","(-0.229,-0.162)","0.00001","-0.174895367607526","-0.175162018341051","-0.137174217929569","-0.211064382235883","(-0.211,-0.137)","0.00001","-0.160785643410456","-0.161036217371396","-0.12250723459296","-0.197399895550646","(-0.197,-0.123)","0.00001","-0.112810559589269","-0.113076698768297","-0.0722151824896875","-0.151862179267686","(-0.152,-0.072)","0.00002","-0.162611869663213","-0.16277807222168","-0.124570458803955","-0.199407063797395","(-0.199,-0.125)","0.00001","-0.157817343097152","-0.157829801778044","-0.143020837909997","-0.172208908132887","(-0.172,-0.143)","0.00001"
"87","iridodialysis","-0.036936302900798","-0.0378384979146855","0.0306055663295076","-0.0997383457786115","(-0.1,0.031)","0.27823","-0.0461115670403185","-0.0469035308978783","0.0214700125721527","-0.108747202147447","(-0.109,0.021)","0.17962","0.0185953580980001","0.0176072581219876","0.0963043200110804","-0.052868084022346","(-0.053,0.096)","0.61585","0.0475452409854061","0.0464481589952048","0.126716603717859","-0.0252240991992181","(-0.025,0.127)","0.1956","0.052403480952627","0.0512466921852507","0.131410601695137","-0.0207657993527964","(-0.021,0.131)","0.15272","0.0328413268568362","0.0316861001848697","0.112000703486573","-0.0394634695916214","(-0.039,0.112)","0.37318","0.012738069952515","0.0127126133973558","0.0417299485913564","-0.0155586154219325","(-0.016,0.042)","0.37205"
"88","glaucoma, OAG","-0.144214108001648","-0.144272476365797","-0.118107287098658","-0.169783451171807","(-0.17,-0.118)","0.00001","-0.171384683716786","-0.17145200624127","-0.146276060413735","-0.195993595312738","(-0.196,-0.146)","0.00001","-0.121680832667933","-0.121798952741013","-0.0925514070959892","-0.150049105108978","(-0.15,-0.093)","0.00001","-0.122963089916145","-0.123054100656576","-0.0939081360598675","-0.151122735674377","(-0.151,-0.094)","0.00001","-0.116626741716472","-0.116792680947786","-0.0873429566641365","-0.145121753459435","(-0.145,-0.087)","0.00001","-0.183918686362397","-0.184027484592343","-0.157121455126571","-0.210421201753414","(-0.21,-0.157)","0.00001","-0.137961133927135","-0.1379678476532","-0.127042050536804","-0.14872256637334","(-0.149,-0.127)","0.00001"
"89","glaucoma, secondary to eye infl","-0.0696298496801942","-0.0699031437013698","-0.0235635184744372","-0.113845053000542","(-0.114,-0.024)","0.00509","-0.107507777998151","-0.10776677894856","-0.0633993250632721","-0.149885423940045","(-0.15,-0.063)","0.00003","-0.0690322697343498","-0.0693556052163814","-0.019171807855975","-0.117105143308158","(-0.117,-0.019)","0.01046","-0.0740190428041492","-0.074395657764565","-0.0244477699858806","-0.12123784856309","(-0.121,-0.024)","0.00578","-0.073028427863714","-0.0734666714717101","-0.0232194641498894","-0.120712675132445","(-0.121,-0.023)","0.00629","-0.10715411331005","-0.107465149822488","-0.0592141396946554","-0.153310564139839","(-0.153,-0.059)","0.00011","-0.0787513688766409","-0.078844262249366","-0.059886008299082","-0.0972819731190702","(-0.097,-0.06)","0.00001"
"90","glaucoma, PACG - acute","-0.12085516952864","-0.121729547730486","-0.0543655495230715","-0.182327874480938","(-0.182,-0.054)","0.00144","-0.0721672897271044","-0.0731360117063085","-0.000264839582486414","-0.138136161241152","(-0.138,0)","0.05542","-0.103270087267671","-0.104292474305099","-0.0283649333811418","-0.172112650769068","(-0.172,-0.028)","0.01132","0.0314642922254269","0.0301090716267613","0.120428853470603","-0.0498007179966236","(-0.05,0.12)","0.45149","-0.0603001262355506","-0.061146766161864","0.0186124418492264","-0.133829465912769","(-0.134,0.019)","0.14208","-0.01377920031552","-0.0149748234354772","0.0719555219344943","-0.092362131934163","(-0.092,0.072)","0.74267","-0.0510755625905089","-0.0512881194908264","-0.0206772951873921","-0.0804314671184674","(-0.08,-0.021)","0.00135"
"91","glaucoma, PXG","-0.131679828185444","-0.131978260593951","-0.0901989068295035","-0.171546671787107","(-0.172,-0.09)","0.00001","-0.178861247829826","-0.179132235645385","-0.1399159468519","-0.21604010227986","(-0.216,-0.14)","0.00001","-0.129503644812111","-0.12991012301689","-0.0792664704835912","-0.177206507670056","(-0.177,-0.079)","0.00006","-0.11767782372172","-0.118056812382321","-0.0679232019504035","-0.165071995527488","(-0.165,-0.068)","0.00006","-0.115583656609497","-0.116040496876368","-0.0648277482756598","-0.164017780217376","(-0.164,-0.065)","0.00005","-0.179746069707551","-0.180109648650591","-0.13315641979789","-0.224232139055321","(-0.224,-0.133)","0.00001","-0.136659564440468","-0.136736124170187","-0.118358571434679","-0.15449189628798","(-0.154,-0.118)","0.00001"
"92","glaucoma, PACG - other/unspec","-0.141598510209439","-0.142415838761602","-0.0728508966999737","-0.205742590331807","(-0.206,-0.073)","0.00035","-0.18838111476284","-0.188926361317782","-0.124867973525981","-0.24864595446373","(-0.249,-0.125)","0.00002","-0.0976994293220235","-0.0986523231586416","-0.0196627380153","-0.170246834552676","(-0.17,-0.02)","0.02123","-0.0598933623124126","-0.0607527163101645","0.0211018014702711","-0.13540845885427","(-0.135,0.021)","0.15676","-0.092045282947516","-0.0932055751009845","-0.0127083297013815","-0.165683824475672","(-0.166,-0.013)","0.03214","-0.123738033519271","-0.124587142786422","-0.0477765191227631","-0.194990700266044","(-0.195,-0.048)","0.00409","-0.115963252399304","-0.116132702724605","-0.0869025042598679","-0.144195788337491","(-0.144,-0.087)","0.00001"
"93","glaucoma, secondary to eye trauma","-0.0775785472143811","-0.0779444471215224","-0.0349678120261268","-0.118275121630572","(-0.118,-0.035)","0.00061","-0.128577313607015","-0.128803669007486","-0.0892655112324457","-0.166594272043866","(-0.167,-0.089)","0.00001","-0.0816708690067088","-0.0820308001865999","-0.0364206920263545","-0.125455108202221","(-0.125,-0.036)","0.0009","-0.0972894183056866","-0.0976416603845407","-0.0525717506486515","-0.14007713850921","(-0.14,-0.053)","0.0001","-0.0915103527027584","-0.0917891914222445","-0.04627756695261","-0.134494266442617","(-0.134,-0.046)","0.00035","-0.17378196907166","-0.174213256240688","-0.133010407943329","-0.212962159773619","(-0.213,-0.133)","0.00001","-0.10458978036613","-0.104651385380236","-0.0877759604735198","-0.121157405314434","(-0.121,-0.088)","0.00001"
"94","glaucoma, PACG - chronic","-0.111530252469518","-0.111768543096003","-0.0702194200012036","-0.151265777960034","(-0.151,-0.07)","0.00002","-0.135440642618648","-0.135673378511706","-0.0954130595803815","-0.174166851959974","(-0.174,-0.095)","0.00001","-0.0993223839716227","-0.0996942262781864","-0.0536865053484477","-0.143154275266624","(-0.143,-0.054)","0.00011","-0.0731827249875805","-0.073430428207046","-0.026177115844458","-0.118255796358496","(-0.118,-0.026)","0.00377","-0.0838921852440023","-0.0842441533948335","-0.0373704680612227","-0.128375993004392","(-0.128,-0.037)","0.001","-0.141546531333912","-0.141905296866085","-0.097884232270696","-0.183117299302515","(-0.183,-0.098)","0.00001","-0.104850915029775","-0.104952431737356","-0.0874080417154514","-0.12175375785006","(-0.122,-0.087)","0.00001"
"96","anterior uveitis - other","-0.106908800319756","-0.10767656630868","-0.0443971926742599","-0.165993623617414","(-0.166,-0.044)","0.00192","-0.0239294335771259","-0.0246031364417104","0.0448050755158697","-0.0886273123684279","(-0.089,0.045)","0.49228","-0.176608929287742","-0.177510371679172","-0.102133099543601","-0.245952525561536","(-0.246,-0.102)","0.00018","-0.120708582311326","-0.121505102211545","-0.0420413093951813","-0.194250026937568","(-0.194,-0.042)","0.007","0.00347231721111059","0.00224842332224412","0.0965691141768534","-0.0825593949087694","(-0.083,0.097)","0.93771","0.0721828403273156","0.0712006235904478","0.170759661436087","-0.0201320701269542","(-0.02,0.171)","0.11116","-0.0615844866247569","-0.0617400658186774","-0.0306287848186815","-0.0918800275048163","(-0.092,-0.031)","0.00029"
"97","secondary uveitis - infectious","-0.10213003478461","-0.102945769361517","-0.0318914320250922","-0.168160384039837","(-0.168,-0.032)","0.00838","-0.111583836215829","-0.112387199112573","-0.041982549868932","-0.17630362806451","(-0.176,-0.042)","0.00406","-0.115212838477803","-0.116126520391068","-0.0396945771166118","-0.185430888347942","(-0.185,-0.04)","0.00661","-0.0840795667409003","-0.0851397523636223","-0.00650921552776038","-0.156579169710783","(-0.157,-0.007)","0.04361","-0.0752887094674691","-0.076217890588645","0.00362322831372914","-0.148485342773484","(-0.148,0.004)","0.07275","-0.157637638818844","-0.158493864740308","-0.0862199284053824","-0.223847293734395","(-0.224,-0.086)","0.00024","-0.102957218067568","-0.103083375828018","-0.074036336082109","-0.131089599140215","(-0.131,-0.074)","0.00001"
"99","posterior uveitis","-0.0418488121509279","-0.0419521683637167","-0.00659472338656793","-0.076059788687837","(-0.076,-0.007)","0.02392","-0.07062286179011","-0.0708319989378119","-0.0369362123800213","-0.103247992601488","(-0.103,-0.037)","0.00009","-0.0378102353482584","-0.0380625267397563","0.00053295171327023","-0.0749798608647176","(-0.075,0.001)","0.05842","-0.013999301047909","-0.0142302193856695","0.0250850987457825","-0.0517328661634948","(-0.052,0.025)","0.4755","0.0222123604599539","0.0219379002562051","0.0628775292966876","-0.0168452253830092","(-0.017,0.063)","0.26408","-0.030897031661449","-0.0311071500794828","0.00728697849594415","-0.0677292398440318","(-0.068,0.007)","0.11823","-0.026794088819912","-0.0268253487856461","-0.0121243537578196","-0.0413876052374637","(-0.041,-0.012)","0.0004"
"101","herpesviral ocular disease","-0.0516810147204847","-0.0520703839969947","-0.00228989930269255","-0.0981461857869406","(-0.098,-0.002)","0.04457","-0.101055805896666","-0.101633643257503","-0.0536963103611818","-0.145290499832351","(-0.145,-0.054)","0.00011","-0.042362710052314","-0.0428105385811371","0.0103994666224723","-0.0924771810326616","(-0.092,0.01)","0.122","-0.00534280413186756","-0.00589112447956449","0.0488307532101479","-0.0567010488691186","(-0.057,0.049)","0.84248","0.0540712906259305","0.0535094760839785","0.112074699815805","-0.000850497373689736","(-0.001,0.112)","0.04684","-0.00780980379296309","-0.00833009317327363","0.046653704611077","-0.0592225631739769","(-0.059,0.047)","0.77556","-0.0297660585075769","-0.029886022263391","-0.0092387507691683","-0.0498589223073712","(-0.05,-0.009)","0.00533"
"102","zoster ocular disease","-0.126646705568389","-0.128500634185561","-0.0228534443764904","-0.221290681473774","(-0.221,-0.023)","0.02858","-0.182463934198117","-0.184081680111726","-0.08477237409809","-0.271262769853665","(-0.271,-0.085)","0.00207","-0.155490425822058","-0.157382449453624","-0.0449023854755501","-0.254805130970836","(-0.255,-0.045)","0.01367","-0.13477748508756","-0.136546782790918","-0.0225071084332551","-0.235963373949486","(-0.236,-0.023)","0.03204","-0.132675504275763","-0.134496137520362","-0.0204382747844585","-0.234521263012602","(-0.235,-0.02)","0.03479","-0.202838561316873","-0.204588546267444","-0.100082879593356","-0.296300827602699","(-0.296,-0.1)","0.00159","-0.152075732271265","-0.152366360110027","-0.110803506057181","-0.19186081041239","(-0.192,-0.111)","0.00001"
"103","toxoplasma oculopathy","-0.0989868457184794","-0.0992976814794744","-0.062338351884882","-0.133891214597222","(-0.134,-0.062)","0.00001","-0.156704789452983","-0.156933691326885","-0.123149975558784","-0.188921072103226","(-0.189,-0.123)","0.00001","-0.129372878338384","-0.129604878298988","-0.0922298824573056","-0.164831829689803","(-0.165,-0.092)","0.00001","-0.138451439503594","-0.138780414941454","-0.102666860959528","-0.172957204985497","(-0.173,-0.103)","0.00001","-0.109583789264778","-0.109866328364035","-0.0716179452760866","-0.146120382035423","(-0.146,-0.072)","0.00001","-0.164867330663289","-0.165200319188541","-0.129344977948959","-0.198612990109227","(-0.199,-0.129)","0.00001","-0.129093532388642","-0.129108674300076","-0.114946930199806","-0.14306905706425","(-0.143,-0.115)","0.00001"
"104","sympathetic uveitis","-0.234160926873681","-0.235759596785972","-0.148915760911904","-0.309626871603155","(-0.31,-0.149)","0.00001","-0.175630411567817","-0.177320614493515","-0.0834505094210323","-0.257543894785697","(-0.258,-0.083)","0.00127","-0.226382827804512","-0.228329361512148","-0.129458302226656","-0.312423297912382","(-0.312,-0.129)","0.00025","-0.0387073178272787","-0.0414586635382128","0.0867313434270086","-0.149406976642317","(-0.149,0.087)","0.53409","-0.260674535010828","-0.26263247295376","-0.166205352118308","-0.34337562871423","(-0.343,-0.166)","0.00007","-0.245158227166839","-0.2471581575662","-0.145296154143016","-0.333029806803926","(-0.333,-0.145)","0.00014","-0.191080719614972","-0.191357640692199","-0.153021877679531","-0.227632617457114","(-0.228,-0.153)","0.00001"
"105","other endophthalmitis","-0.1549453550171","-0.155222787300304","-0.110659330577521","-0.197230176076289","(-0.197,-0.111)","0.00001","0.00957354004290537","0.00921620549641918","0.0617526210346003","-0.0404303322706676","(-0.04,0.062)","0.71043","-0.25429540284988","-0.254768663811297","-0.203404079462319","-0.302459209810467","(-0.302,-0.203)","0.00001","-0.241080601456527","-0.24153548600037","-0.190215586596502","-0.289175788350996","(-0.289,-0.19)","0.00001","-0.087015267876007","-0.0876275945241362","-0.0226599013370638","-0.147859075770225","(-0.148,-0.023)","0.0101","0.128510438307015","0.127884055839465","0.20622595123411","0.0550055384588221","(0.055,0.206)","0.00026","-0.102251654626086","-0.102332254268955","-0.0798711274743966","-0.124029366089503","(-0.124,-0.08)","0.00001"
"106","anterior uveitis - acute, other/unspec","-0.166518228433138","-0.167242055478476","-0.103225019420343","-0.226176075624096","(-0.226,-0.103)","0.00003","-0.170617295944059","-0.171316779450918","-0.107861457147832","-0.229497793898314","(-0.229,-0.108)","0.00002","-0.12313162780985","-0.12420757864742","-0.042237372932769","-0.198274858549145","(-0.198,-0.042)","0.00741","-0.162771147799366","-0.163645859607912","-0.0863457013285553","-0.234078593468652","(-0.234,-0.086)","0.00042","-0.12071774028739","-0.12166694802987","-0.0395841638813347","-0.196004073598854","(-0.196,-0.04)","0.0086","-0.240960959814788","-0.241735569234342","-0.172325619896466","-0.305469423341602","(-0.305,-0.172)","0.00001","-0.161937804055161","-0.16208892379214","-0.133687469463706","-0.189394825326223","(-0.189,-0.134)","0.00001"
"107","anterior uveitis - acute, primary","-0.0877088295856707","-0.0885156798042502","-0.0125295026123749","-0.158235766314403","(-0.158,-0.013)","0.03153","-0.126956820214068","-0.127806751336182","-0.0551735367057285","-0.194453801730078","(-0.194,-0.055)","0.00205","-0.0497896520174255","-0.0508788812347815","0.0365519612087138","-0.12970725850219","(-0.13,0.037)","0.26328","-0.0181698329747118","-0.0193766907026388","0.0709324797997447","-0.100810084451538","(-0.101,0.071)","0.68083","-0.0169870810684597","-0.0179970344681776","0.0719190471850627","-0.100115377112663","(-0.1,0.072)","0.70435","-0.107366935245518","-0.108417596272402","-0.0267142783019745","-0.181839365904607","(-0.182,-0.027)","0.01584","-0.0665578475920196","-0.0667138267597147","-0.0347580357585089","-0.0976805943083004","(-0.098,-0.035)","0.00011"
"108","panophthalmitis","-0.209137861756965","-0.210993446688918","-0.118748096521611","-0.289309908438508","(-0.289,-0.119)","0.00017","-0.287997165760898","-0.289806482022768","-0.205466897027302","-0.360138978143287","(-0.36,-0.205)","0.00001","-0.264565559443096","-0.266564593576579","-0.171049099884215","-0.346440966092501","(-0.346,-0.171)","0.00001","-0.357927136406449","-0.359659625893151","-0.279882240228188","-0.426547660602825","(-0.427,-0.28)","0.00001","-0.34279929478974","-0.344480397751933","-0.263527899728638","-0.412757896051121","(-0.413,-0.264)","0.00001","-0.453283713899439","-0.454601869851898","-0.387285953306637","-0.511776373057287","(-0.512,-0.387)","0.00001","-0.312295325858464","-0.312606976302088","-0.280500032421293","-0.342356991075845","(-0.342,-0.281)","0.00001"
"109","panuveitis","-0.0887765776704619","-0.0890994656455359","-0.0444484421497922","-0.131491069798468","(-0.131,-0.044)","0.00029","-0.108946281670005","-0.109183253344014","-0.0661539092020747","-0.150476574089","(-0.15,-0.066)","0.00001","-0.103353410846052","-0.103809755864182","-0.0505302951405442","-0.153620758832289","(-0.154,-0.051)","0.00047","-0.0434589903176247","-0.0438428414550506","0.0122931372801202","-0.0965013986041318","(-0.097,0.012)","0.13249","-0.0550721203985179","-0.0555354724133841","0.000310777945272026","-0.108155323442616","(-0.108,0)","0.05998","-0.10095638678034","-0.10141196216564","-0.0486372225201353","-0.150585344848089","(-0.151,-0.049)","0.00047","-0.079813663330992","-0.0798994772444091","-0.059870793758317","-0.0992825272681458","(-0.099,-0.06)","0.00001"
"110","anterior uveitis - acute, recurrent","-0.140675103114285","-0.141494527068793","-0.0703492075165252","-0.206365923322076","(-0.206,-0.07)","0.00062","-0.128788114720002","-0.12952547968116","-0.0578751974349106","-0.195016166121964","(-0.195,-0.058)","0.00147","-0.0925865183395199","-0.0938701354634623","-0.00318219998357621","-0.175435735955009","(-0.175,-0.003)","0.05562","-0.00967245503582104","-0.0110009135813759","0.0874119273443129","-0.10003555870925","(-0.1,0.087)","0.84211","-0.0720374644543635","-0.0731166295005466","0.0203898879284082","-0.157019075263642","(-0.157,0.02)","0.1377","-0.0849602545062247","-0.0858913843383786","0.00462717106754588","-0.168752425562658","(-0.169,0.005)","0.07983","-0.0858423638302779","-0.0860261644756866","-0.0527311096692916","-0.117954835343884","(-0.118,-0.053)","0.00001"
"111","anterior uveitis - chronic","-0.084668924254972","-0.0853928940115931","-0.020796678159867","-0.143672592390643","(-0.144,-0.021)","0.01272","-0.120749526466974","-0.121398584110849","-0.0606546849621655","-0.177533760939975","(-0.178,-0.061)","0.00046","-0.0436252379279714","-0.0445483013349597","0.0260519871846296","-0.108090372786249","(-0.108,0.026)","0.22105","-0.00302351811995144","-0.00389286287007199","0.0689327899939219","-0.0696069761294506","(-0.07,0.069)","0.93191","-0.00614029020217281","-0.00706943736070604","0.0666961802669588","-0.0737798273487072","(-0.074,0.067)","0.86362","-0.0888894258958223","-0.0897938552529709","-0.0227428149299164","-0.150170946907228","(-0.15,-0.023)","0.01194","-0.0546731161551107","-0.0547602666140447","-0.0283942184537239","-0.080267845814291","(-0.08,-0.028)","0.00012"
"112","secondary uveitis - noninfectious","-0.189402237425665","-0.189624737718044","-0.149534798998609","-0.227563768550077","(-0.228,-0.15)","0.00001","-0.177174075467484","-0.17748486952088","-0.136511192818754","-0.215718905003666","(-0.216,-0.137)","0.00001","-0.141616030482407","-0.142016421233057","-0.0954201145117089","-0.185858576091746","(-0.186,-0.095)","0.00001","-0.108855844031632","-0.10924046360767","-0.0608915921428527","-0.154502205791879","(-0.155,-0.061)","0.00007","-0.147654743957474","-0.147899224296618","-0.102524540665191","-0.191207266847564","(-0.191,-0.103)","0.00001","-0.211634041721642","-0.211953023241053","-0.16933997238317","-0.252084975886645","(-0.252,-0.169)","0.00001","-0.163161935221978","-0.163207427630588","-0.146039517823617","-0.179968309732946","(-0.18,-0.146)","0.00001"
"114","NPDR w/o DME","-0.141329677711201","-0.141725617500456","-0.0966412793060684","-0.184243885301127","(-0.184,-0.097)","0.00001","-0.17586786154984","-0.176141427302395","-0.132962200574849","-0.216990698009586","(-0.217,-0.133)","0.00001","-0.153438144385227","-0.153906801455879","-0.099894185571127","-0.204146801950848","(-0.204,-0.1)","0.00002","-0.138546536494316","-0.139045199311332","-0.0844529919267937","-0.189828939486163","(-0.19,-0.084)","0.00002","-0.149526887203471","-0.150066169092076","-0.0960675460025713","-0.200167892588333","(-0.2,-0.096)","0.00002","-0.171504301504809","-0.171991408998088","-0.119383496260566","-0.221095116122447","(-0.221,-0.119)","0.00001","-0.151490745399114","-0.151574991310459","-0.13182791036342","-0.170723347832451","(-0.171,-0.132)","0.00001"
