"Index","ICD.10.Code","Top10","DiagnosisEntity","CCSR.Category","Diagnosis"
"371","E13.3413","Diabetic retinopathy","NPDR w/ DME","EYE005","Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,  bilateral       "
"372","E13.3419","Diabetic retinopathy","NPDR w/ DME","EYE005","Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,  unspecified eye      "
"373","E13.3491","Diabetic retinopathy","NPDR w/o DME","EYE005","Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,  right eye      "
"374","E13.3492","Diabetic retinopathy","NPDR w/o DME","EYE005","Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,  left eye      "
"375","E13.3493","Diabetic retinopathy","NPDR w/o DME","EYE005","Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,  bilateral       "
"376","E13.3499","Diabetic retinopathy","NPDR w/o DME","EYE005","Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,  unspecified eye      "
"377","E13.3511","Diabetic retinopathy","PDR w/ DME","EYE005","Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, right  eye       "
"378","E13.3512","Diabetic retinopathy","PDR w/ DME","EYE005","Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, left  eye       "
"379","E13.3513","Diabetic retinopathy","PDR w/ DME","EYE005","Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral         "
"380","E13.3519","Diabetic retinopathy","PDR w/ DME","EYE005","Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified  eye       "
"381","E13.3521","Diabetic retinopathy","PDR w/ DME","EYE005","Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment  involving the macula, right eye   "
"382","E13.3522","Diabetic retinopathy","PDR w/ DME","EYE005","Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment  involving the macula, left eye   "
"383","E13.3523","Diabetic retinopathy","PDR w/ DME","EYE005","Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment  involving the macula, bilateral    "
"384","E13.3529","Diabetic retinopathy","PDR w/ DME","EYE005","Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment  involving the macula, unspecified eye   "
"385","E13.3531","Diabetic retinopathy","PDR w/ DME","EYE005","Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment  not involving the macula, right eye  "
"386","E13.3532","Diabetic retinopathy","PDR w/ DME","EYE005","Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment  not involving the macula, left eye  "
"387","E13.3533","Diabetic retinopathy","PDR w/ DME","EYE005","Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment  not involving the macula, bilateral   "
"388","E13.3539","Diabetic retinopathy","PDR w/ DME","EYE005","Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment  not involving the macula, unspecified eye  "
"389","E13.3541","Diabetic retinopathy","PDR w/ DME","EYE005","Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal  detachment and rhegmatogenous retinal detachment, right  eye"
"390","E13.3542","Diabetic retinopathy","PDR w/ DME","EYE005","Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal  detachment and rhegmatogenous retinal detachment, left  eye"
"391","E13.3543","Diabetic retinopathy","PDR w/ DME","EYE005","Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal  detachment and rhegmatogenous retinal detachment, bilateral  "
"392","E13.3549","Diabetic retinopathy","PDR w/ DME","EYE005","Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal  detachment and rhegmatogenous retinal detachment, unspecified  eye"
"393","E13.3551","Diabetic retinopathy","PDR, stable","EYE005","Other specified diabetes mellitus with stable proliferative diabetic retinopathy, right eye          "
"394","E13.3552","Diabetic retinopathy","PDR, stable","EYE005","Other specified diabetes mellitus with stable proliferative diabetic retinopathy, left eye          "
"395","E13.3553","Diabetic retinopathy","PDR, stable","EYE005","Other specified diabetes mellitus with stable proliferative diabetic retinopathy, bilateral           "
"396","E13.3559","Diabetic retinopathy","PDR, stable","EYE005","Other specified diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye          "
"397","E13.3591","Diabetic retinopathy","PDR w/o DME","EYE005","Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, right  eye       "
"398","E13.3592","Diabetic retinopathy","PDR w/o DME","EYE005","Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, left  eye       "
"399","E13.3593","Diabetic retinopathy","PDR w/o DME","EYE005","Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral         "
"400","E13.3599","Diabetic retinopathy","PDR w/o DME","EYE005","Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified  eye       "
"401","E13.36","Diabetic retinopathy","diabetic cataract","EYE002","Other specified diabetes mellitus with diabetic cataract              "
"402","E13.37X1","Diabetic retinopathy","DME resolved after tx","EYE005","Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, right  eye       "
"403","E13.37X2","Diabetic retinopathy","DME resolved after tx","EYE005","Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, left  eye       "
"404","E13.37X3","Diabetic retinopathy","DME resolved after tx","EYE005","Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral         "
"405","E13.37X9","Diabetic retinopathy","DME resolved after tx","EYE005","Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified  eye       "
"406","E13.39","Diabetic retinopathy","other diabetic ophthalmic compl","EYE005","Other specified diabetes mellitus with other diabetic ophthalmic complication            "
"407","G24.5","Blepharospasm                    ","blepharospasm                    ","EYE006","Blepharospasm                    "
"408","H00.011","Hordeolum and other deep inflammation of eyelid","hordeolum","EYE001","Hordeolum externum right upper eyelid                "
"409","H00.012","Hordeolum and other deep inflammation of eyelid","hordeolum","EYE001","Hordeolum externum right lower eyelid                "
"410","H00.013","Hordeolum and other deep inflammation of eyelid","hordeolum","EYE001","Hordeolum externum right eye, unspecified eyelid               "
"411","H00.014","Hordeolum and other deep inflammation of eyelid","hordeolum","EYE001","Hordeolum externum left upper eyelid                "
"412","H00.015","Hordeolum and other deep inflammation of eyelid","hordeolum","EYE001","Hordeolum externum left lower eyelid                "
"413","H00.016","Hordeolum and other deep inflammation of eyelid","hordeolum","EYE001","Hordeolum externum left eye, unspecified eyelid               "
"414","H00.019","Hordeolum and other deep inflammation of eyelid","hordeolum","EYE001","Hordeolum externum unspecified eye, unspecified eyelid               "
"415","H00.021","Hordeolum and other deep inflammation of eyelid","hordeolum","EYE001","Hordeolum internum right upper eyelid                "
"416","H00.022","Hordeolum and other deep inflammation of eyelid","hordeolum","EYE001","Hordeolum internum right lower eyelid                "
"417","H00.023","Hordeolum and other deep inflammation of eyelid","hordeolum","EYE001","Hordeolum internum right eye, unspecified eyelid               "
"418","H00.024","Hordeolum and other deep inflammation of eyelid","hordeolum","EYE001","Hordeolum internum left upper eyelid                "
"419","H00.025","Hordeolum and other deep inflammation of eyelid","hordeolum","EYE001","Hordeolum internum left lower eyelid                "
"420","H00.026","Hordeolum and other deep inflammation of eyelid","hordeolum","EYE001","Hordeolum internum left eye, unspecified eyelid               "
"421","H00.029","Hordeolum and other deep inflammation of eyelid","hordeolum","EYE001","Hordeolum internum unspecified eye, unspecified eyelid               "
"422","H00.031","Hordeolum and other deep inflammation of eyelid","hordeolum","EYE001","Abscess of right upper eyelid                "
"423","H00.032","Hordeolum and other deep inflammation of eyelid","hordeolum","EYE001","Abscess of right lower eyelid                "
"424","H00.033","Hordeolum and other deep inflammation of eyelid","hordeolum","EYE001","Abscess of eyelid right eye, unspecified eyelid              "
"425","H00.034","Hordeolum and other deep inflammation of eyelid","hordeolum","EYE001","Abscess of left upper eyelid                "
"426","H00.035","Hordeolum and other deep inflammation of eyelid","hordeolum","EYE001","Abscess of left lower eyelid                "
"427","H00.036","Hordeolum and other deep inflammation of eyelid","hordeolum","EYE001","Abscess of eyelid left eye, unspecified eyelid              "
"428","H00.039","Hordeolum and other deep inflammation of eyelid","hordeolum","EYE001","Abscess of eyelid unspecified eye, unspecified eyelid              "
"429","H00.11","Chalazion","chalazion","EYE001","Chalazion right upper eyelid                 "
"430","H00.12","Chalazion","chalazion","EYE001","Chalazion right lower eyelid                 "
"431","H00.13","Chalazion","chalazion","EYE001","Chalazion right eye, unspecified eyelid                "
"432","H00.14","Chalazion","chalazion","EYE001","Chalazion left upper eyelid                 "
"433","H00.15","Chalazion","chalazion","EYE001","Chalazion left lower eyelid                 "
"434","H00.16","Chalazion","chalazion","EYE001","Chalazion left eye, unspecified eyelid                "
"435","H00.19","Chalazion","chalazion","EYE001","Chalazion unspecified eye, unspecified eyelid                "
"436","H01.001","Blepharitis","blepharitis","EYE001","Unspecified blepharitis right upper eyelid                "
"437","H01.002","Blepharitis","blepharitis","EYE001","Unspecified blepharitis right lower eyelid                "
"438","H01.003","Blepharitis","blepharitis","EYE001","Unspecified blepharitis right eye, unspecified eyelid               "
"439","H01.004","Blepharitis","blepharitis","EYE001","Unspecified blepharitis left upper eyelid                "
"440","H01.005","Blepharitis","blepharitis","EYE001","Unspecified blepharitis left lower eyelid                "
"441","H01.006","Blepharitis","blepharitis","EYE001","Unspecified blepharitis left eye, unspecified eyelid               "
"442","H01.009","Blepharitis","blepharitis","EYE001","Unspecified blepharitis unspecified eye, unspecified eyelid               "
"443","H01.011","Blepharitis","blepharitis","EYE001","Ulcerative blepharitis right upper eyelid                "
"444","H01.012","Blepharitis","blepharitis","EYE001","Ulcerative blepharitis right lower eyelid                "
"445","H01.013","Blepharitis","blepharitis","EYE001","Ulcerative blepharitis right eye, unspecified eyelid               "
"446","H01.014","Blepharitis","blepharitis","EYE001","Ulcerative blepharitis left upper eyelid                "
"447","H01.015","Blepharitis","blepharitis","EYE001","Ulcerative blepharitis left lower eyelid                "
"448","H01.016","Blepharitis","blepharitis","EYE001","Ulcerative blepharitis left eye, unspecified eyelid               "
"449","H01.019","Blepharitis","blepharitis","EYE001","Ulcerative blepharitis unspecified eye, unspecified eyelid               "
"450","H01.021","Blepharitis","blepharitis","EYE001","Squamous blepharitis right upper eyelid                "
"451","H01.022","Blepharitis","blepharitis","EYE001","Squamous blepharitis right lower eyelid                "
"452","H01.023","Blepharitis","blepharitis","EYE001","Squamous blepharitis right eye, unspecified eyelid               "
"453","H01.024","Blepharitis","blepharitis","EYE001","Squamous blepharitis left upper eyelid                "
"454","H01.025","Blepharitis","blepharitis","EYE001","Squamous blepharitis left lower eyelid                "
"455","H01.026","Blepharitis","blepharitis","EYE001","Squamous blepharitis left eye, unspecified eyelid               "
"456","H01.029","Blepharitis","blepharitis","EYE001","Squamous blepharitis unspecified eye, unspecified eyelid               "
"457","H01.111","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Allergic dermatitis of right upper eyelid               "
"458","H01.112","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Allergic dermatitis of right lower eyelid               "
"459","H01.113","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Allergic dermatitis of right eye, unspecified eyelid              "
"460","H01.114","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Allergic dermatitis of left upper eyelid               "
"461","H01.115","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Allergic dermatitis of left lower eyelid               "
"462","H01.116","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Allergic dermatitis of left eye, unspecified eyelid              "
"463","H01.119","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Allergic dermatitis of unspecified eye, unspecified eyelid              "
"464","H01.121","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Discoid lupus erythematosus of right upper eyelid              "
"465","H01.122","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Discoid lupus erythematosus of right lower eyelid              "
"466","H01.123","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Discoid lupus erythematosus of right eye, unspecified eyelid             "
"467","H01.124","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Discoid lupus erythematosus of left upper eyelid              "
"468","H01.125","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Discoid lupus erythematosus of left lower eyelid              "
"469","H01.126","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Discoid lupus erythematosus of left eye, unspecified eyelid             "
"470","H01.129","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Discoid lupus erythematosus of unspecified eye, unspecified eyelid             "
"471","H01.131","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Eczematous dermatitis of right upper eyelid               "
"472","H01.132","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Eczematous dermatitis of right lower eyelid               "
"473","H01.133","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Eczematous dermatitis of right eye, unspecified eyelid              "
"474","H01.134","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Eczematous dermatitis of left upper eyelid               "
"475","H01.135","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Eczematous dermatitis of left lower eyelid               "
"476","H01.136","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Eczematous dermatitis of left eye, unspecified eyelid              "
"477","H01.139","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Eczematous dermatitis of unspecified eye, unspecified eyelid              "
"478","H01.141","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Xeroderma of right upper eyelid                "
"479","H01.142","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Xeroderma of right lower eyelid                "
"480","H01.143","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Xeroderma of right eye, unspecified eyelid               "
"481","H01.144","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Xeroderma of left upper eyelid                "
"482","H01.145","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Xeroderma of left lower eyelid                "
"483","H01.146","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Xeroderma of left eye, unspecified eyelid               "
"484","H01.149","Noninfectious dermatoses of eyelid","eyelid dermatoses - noninfectious","EYE001","Xeroderma of unspecified eye, unspecified eyelid               "
"485","H01.8","Other inflammations of eyelids","eyelid dermatoses - noninfectious","EYE001","Other specified inflammations of eyelid                "
"486","H01.9","Other inflammations of eyelids","eyelid dermatoses - noninfectious","EYE001","Unspecified inflammation of eyelid                 "
"487","H02.001","Entropion and trichiasis of eyelid","entropion","EYE001","Unspecified entropion of right upper eyelid               "
"488","H02.002","Entropion and trichiasis of eyelid","entropion","EYE001","Unspecified entropion of right lower eyelid               "
"489","H02.003","Entropion and trichiasis of eyelid","entropion","EYE001","Unspecified entropion of right eye, unspecified eyelid              "
"490","H02.004","Entropion and trichiasis of eyelid","entropion","EYE001","Unspecified entropion of left upper eyelid               "
"491","H02.005","Entropion and trichiasis of eyelid","entropion","EYE001","Unspecified entropion of left lower eyelid               "
"492","H02.006","Entropion and trichiasis of eyelid","entropion","EYE001","Unspecified entropion of left eye, unspecified eyelid              "
"493","H02.009","Entropion and trichiasis of eyelid","entropion","EYE001","Unspecified entropion of unspecified eye, unspecified eyelid              "
"494","H02.011","Entropion and trichiasis of eyelid","entropion","EYE001","Cicatricial entropion of right upper eyelid               "
"495","H02.012","Entropion and trichiasis of eyelid","entropion","EYE001","Cicatricial entropion of right lower eyelid               "
"496","H02.013","Entropion and trichiasis of eyelid","entropion","EYE001","Cicatricial entropion of right eye, unspecified eyelid              "
"497","H02.014","Entropion and trichiasis of eyelid","entropion","EYE001","Cicatricial entropion of left upper eyelid               "
"498","H02.015","Entropion and trichiasis of eyelid","entropion","EYE001","Cicatricial entropion of left lower eyelid               "
"499","H02.016","Entropion and trichiasis of eyelid","entropion","EYE001","Cicatricial entropion of left eye, unspecified eyelid              "
"500","H02.019","Entropion and trichiasis of eyelid","entropion","EYE001","Cicatricial entropion of unspecified eye, unspecified eyelid              "
"501","H02.021","Entropion and trichiasis of eyelid","entropion","EYE001","Mechanical entropion of right upper eyelid               "
"502","H02.022","Entropion and trichiasis of eyelid","entropion","EYE001","Mechanical entropion of right lower eyelid               "
"503","H02.023","Entropion and trichiasis of eyelid","entropion","EYE001","Mechanical entropion of right eye, unspecified eyelid              "
"504","H02.024","Entropion and trichiasis of eyelid","entropion","EYE001","Mechanical entropion of left upper eyelid               "
"505","H02.025","Entropion and trichiasis of eyelid","entropion","EYE001","Mechanical entropion of left lower eyelid               "
"506","H02.026","Entropion and trichiasis of eyelid","entropion","EYE001","Mechanical entropion of left eye, unspecified eyelid              "
"507","H02.029","Entropion and trichiasis of eyelid","entropion","EYE001","Mechanical entropion of unspecified eye, unspecified eyelid              "
"508","H02.031","Entropion and trichiasis of eyelid","entropion","EYE001","Senile entropion of right upper eyelid               "
"509","H02.032","Entropion and trichiasis of eyelid","entropion","EYE001","Senile entropion of right lower eyelid               "
"510","H02.033","Entropion and trichiasis of eyelid","entropion","EYE001","Senile entropion of right eye, unspecified eyelid              "
"511","H02.034","Entropion and trichiasis of eyelid","entropion","EYE001","Senile entropion of left upper eyelid               "
"512","H02.035","Entropion and trichiasis of eyelid","entropion","EYE001","Senile entropion of left lower eyelid               "
"513","H02.036","Entropion and trichiasis of eyelid","entropion","EYE001","Senile entropion of left eye, unspecified eyelid              "
"514","H02.039","Entropion and trichiasis of eyelid","entropion","EYE001","Senile entropion of unspecified eye, unspecified eyelid              "
"515","H02.041","Entropion and trichiasis of eyelid","entropion","EYE001","Spastic entropion of right upper eyelid               "
"516","H02.042","Entropion and trichiasis of eyelid","entropion","EYE001","Spastic entropion of right lower eyelid               "
"517","H02.043","Entropion and trichiasis of eyelid","entropion","EYE001","Spastic entropion of right eye, unspecified eyelid              "
"518","H02.044","Entropion and trichiasis of eyelid","entropion","EYE001","Spastic entropion of left upper eyelid               "
"519","H02.045","Entropion and trichiasis of eyelid","entropion","EYE001","Spastic entropion of left lower eyelid               "
"520","H02.046","Entropion and trichiasis of eyelid","entropion","EYE001","Spastic entropion of left eye, unspecified eyelid              "
"521","H02.049","Entropion and trichiasis of eyelid","entropion","EYE001","Spastic entropion of unspecified eye, unspecified eyelid              "
"522","H02.051","Entropion and trichiasis of eyelid","trichiasis w/o entropion","EYE001","Trichiasis without entropion right upper eyelid               "
"523","H02.052","Entropion and trichiasis of eyelid","trichiasis w/o entropion","EYE001","Trichiasis without entropion right lower eyelid               "
"524","H02.053","Entropion and trichiasis of eyelid","trichiasis w/o entropion","EYE001","Trichiasis without entropion right eye, unspecified eyelid              "
"525","H02.054","Entropion and trichiasis of eyelid","trichiasis w/o entropion","EYE001","Trichiasis without entropion left upper eyelid               "
"526","H02.055","Entropion and trichiasis of eyelid","trichiasis w/o entropion","EYE001","Trichiasis without entropion left lower eyelid               "
"527","H02.056","Entropion and trichiasis of eyelid","trichiasis w/o entropion","EYE001","Trichiasis without entropion left eye, unspecified eyelid              "
"528","H02.059","Entropion and trichiasis of eyelid","trichiasis w/o entropion","EYE001","Trichiasis without entropion unspecified eye, unspecified eyelid              "
"529","H02.101","Ectropion","ectropion","EYE001","Unspecified ectropion of right upper eyelid               "
"530","H02.102","Ectropion","ectropion","EYE001","Unspecified ectropion of right lower eyelid               "
"531","H02.103","Ectropion","ectropion","EYE001","Unspecified ectropion of right eye, unspecified eyelid              "
"532","H02.104","Ectropion","ectropion","EYE001","Unspecified ectropion of left upper eyelid               "
"533","H02.105","Ectropion","ectropion","EYE001","Unspecified ectropion of left lower eyelid               "
"534","H02.106","Ectropion","ectropion","EYE001","Unspecified ectropion of left eye, unspecified eyelid              "
"535","H02.109","Ectropion","ectropion","EYE001","Unspecified ectropion of unspecified eye, unspecified eyelid              "
"536","H02.111","Ectropion","ectropion","EYE001","Cicatricial ectropion of right upper eyelid               "
"537","H02.112","Ectropion","ectropion","EYE001","Cicatricial ectropion of right lower eyelid               "
"538","H02.113","Ectropion","ectropion","EYE001","Cicatricial ectropion of right eye, unspecified eyelid              "
"539","H02.114","Ectropion","ectropion","EYE001","Cicatricial ectropion of left upper eyelid               "
"540","H02.115","Ectropion","ectropion","EYE001","Cicatricial ectropion of left lower eyelid               "
"541","H02.116","Ectropion","ectropion","EYE001","Cicatricial ectropion of left eye, unspecified eyelid              "
"542","H02.119","Ectropion","ectropion","EYE001","Cicatricial ectropion of unspecified eye, unspecified eyelid              "
"543","H02.121","Ectropion","ectropion","EYE001","Mechanical ectropion of right upper eyelid               "
"544","H02.122","Ectropion","ectropion","EYE001","Mechanical ectropion of right lower eyelid               "
"545","H02.123","Ectropion","ectropion","EYE001","Mechanical ectropion of right eye, unspecified eyelid              "
"546","H02.124","Ectropion","ectropion","EYE001","Mechanical ectropion of left upper eyelid               "
"547","H02.125","Ectropion","ectropion","EYE001","Mechanical ectropion of left lower eyelid               "
"548","H02.126","Ectropion","ectropion","EYE001","Mechanical ectropion of left eye, unspecified eyelid              "
"549","H02.129","Ectropion","ectropion","EYE001","Mechanical ectropion of unspecified eye, unspecified eyelid              "
"550","H02.131","Ectropion","ectropion","EYE001","Senile ectropion of right upper eyelid               "
"551","H02.132","Ectropion","ectropion","EYE001","Senile ectropion of right lower eyelid               "
"552","H02.133","Ectropion","ectropion","EYE001","Senile ectropion of right eye, unspecified eyelid              "
"553","H02.134","Ectropion","ectropion","EYE001","Senile ectropion of left upper eyelid               "
"554","H02.135","Ectropion","ectropion","EYE001","Senile ectropion of left lower eyelid               "
"555","H02.136","Ectropion","ectropion","EYE001","Senile ectropion of left eye, unspecified eyelid              "
"556","H02.139","Ectropion","ectropion","EYE001","Senile ectropion of unspecified eye, unspecified eyelid              "
"557","H02.141","Ectropion","ectropion","EYE001","Spastic ectropion of right upper eyelid               "
"558","H02.142","Ectropion","ectropion","EYE001","Spastic ectropion of right lower eyelid               "
"559","H02.143","Ectropion","ectropion","EYE001","Spastic ectropion of right eye, unspecified eyelid              "
"560","H02.144","Ectropion","ectropion","EYE001","Spastic ectropion of left upper eyelid               "
"561","H02.145","Ectropion","ectropion","EYE001","Spastic ectropion of left lower eyelid               "
"562","H02.146","Ectropion","ectropion","EYE001","Spastic ectropion of left eye, unspecified eyelid              "
"563","H02.149","Ectropion","ectropion","EYE001","Spastic ectropion of unspecified eye, unspecified eyelid              "
"564","H02.201","Lagophthalmos","lagophthalmos","EYE001","Unspecified lagophthalmos right upper eyelid                "
"565","H02.202","Lagophthalmos","lagophthalmos","EYE001","Unspecified lagophthalmos right lower eyelid                "
"566","H02.203","Lagophthalmos","lagophthalmos","EYE001","Unspecified lagophthalmos right eye, unspecified eyelid               "
"567","H02.204","Lagophthalmos","lagophthalmos","EYE001","Unspecified lagophthalmos left upper eyelid                "
"568","H02.205","Lagophthalmos","lagophthalmos","EYE001","Unspecified lagophthalmos left lower eyelid                "
"569","H02.206","Lagophthalmos","lagophthalmos","EYE001","Unspecified lagophthalmos left eye, unspecified eyelid               "
"570","H02.209","Lagophthalmos","lagophthalmos","EYE001","Unspecified lagophthalmos unspecified eye, unspecified eyelid               "
"571","H02.211","Lagophthalmos","lagophthalmos","EYE001","Cicatricial lagophthalmos right upper eyelid                "
"572","H02.212","Lagophthalmos","lagophthalmos","EYE001","Cicatricial lagophthalmos right lower eyelid                "
"573","H02.213","Lagophthalmos","lagophthalmos","EYE001","Cicatricial lagophthalmos right eye, unspecified eyelid               "
"574","H02.214","Lagophthalmos","lagophthalmos","EYE001","Cicatricial lagophthalmos left upper eyelid                "
"575","H02.215","Lagophthalmos","lagophthalmos","EYE001","Cicatricial lagophthalmos left lower eyelid                "
"576","H02.216","Lagophthalmos","lagophthalmos","EYE001","Cicatricial lagophthalmos left eye, unspecified eyelid               "
"577","H02.219","Lagophthalmos","lagophthalmos","EYE001","Cicatricial lagophthalmos unspecified eye, unspecified eyelid               "
"578","H02.221","Lagophthalmos","lagophthalmos","EYE001","Mechanical lagophthalmos right upper eyelid                "
"579","H02.222","Lagophthalmos","lagophthalmos","EYE001","Mechanical lagophthalmos right lower eyelid                "
"580","H02.223","Lagophthalmos","lagophthalmos","EYE001","Mechanical lagophthalmos right eye, unspecified eyelid               "
"581","H02.224","Lagophthalmos","lagophthalmos","EYE001","Mechanical lagophthalmos left upper eyelid                "
"582","H02.225","Lagophthalmos","lagophthalmos","EYE001","Mechanical lagophthalmos left lower eyelid                "
"583","H02.226","Lagophthalmos","lagophthalmos","EYE001","Mechanical lagophthalmos left eye, unspecified eyelid               "
"584","H02.229","Lagophthalmos","lagophthalmos","EYE001","Mechanical lagophthalmos unspecified eye, unspecified eyelid               "
"585","H02.231","Lagophthalmos","lagophthalmos","EYE001","Paralytic lagophthalmos right upper eyelid                "
"586","H02.232","Lagophthalmos","lagophthalmos","EYE001","Paralytic lagophthalmos right lower eyelid                "
"587","H02.233","Lagophthalmos","lagophthalmos","EYE001","Paralytic lagophthalmos right eye, unspecified eyelid               "
"588","H02.234","Lagophthalmos","lagophthalmos","EYE001","Paralytic lagophthalmos left upper eyelid                "
"589","H02.235","Lagophthalmos","lagophthalmos","EYE001","Paralytic lagophthalmos left lower eyelid                "
"590","H02.236","Lagophthalmos","lagophthalmos","EYE001","Paralytic lagophthalmos left eye, unspecified eyelid               "
"591","H02.239","Lagophthalmos","lagophthalmos","EYE001","Paralytic lagophthalmos unspecified eye, unspecified eyelid               "
"592","H02.30","Ptosis of eyelid","blepharochalasis","EYE008","Blepharochalasis unspecified eye, unspecified eyelid                "
"593","H02.31","Ptosis of eyelid","blepharochalasis","EYE008","Blepharochalasis right upper eyelid                 "
"594","H02.32","Ptosis of eyelid","blepharochalasis","EYE008","Blepharochalasis right lower eyelid                 "
"595","H02.33","Ptosis of eyelid","blepharochalasis","EYE008","Blepharochalasis right eye, unspecified eyelid                "
"596","H02.34","Ptosis of eyelid","blepharochalasis","EYE008","Blepharochalasis left upper eyelid                 "
"597","H02.35","Ptosis of eyelid","blepharochalasis","EYE008","Blepharochalasis left lower eyelid                 "
"598","H02.36","Ptosis of eyelid","blepharochalasis","EYE008","Blepharochalasis left eye, unspecified eyelid                "
"599","H02.401","Ptosis of eyelid","ptosis","EYE008","Unspecified ptosis of right eyelid                "
"600","H02.402","Ptosis of eyelid","ptosis","EYE008","Unspecified ptosis of left eyelid                "
"601","H02.403","Ptosis of eyelid","ptosis","EYE008","Unspecified ptosis of bilateral eyelids                "
"602","H02.409","Ptosis of eyelid","ptosis","EYE008","Unspecified ptosis of unspecified eyelid                "
"603","H02.411","Ptosis of eyelid","ptosis","EYE008","Mechanical ptosis of right eyelid                "
"604","H02.412","Ptosis of eyelid","ptosis","EYE008","Mechanical ptosis of left eyelid                "
"605","H02.413","Ptosis of eyelid","ptosis","EYE008","Mechanical ptosis of bilateral eyelids                "
"606","H02.419","Ptosis of eyelid","ptosis","EYE008","Mechanical ptosis of unspecified eyelid                "
"607","H02.421","Ptosis of eyelid","ptosis","EYE008","Myogenic ptosis of right eyelid                "
"608","H02.422","Ptosis of eyelid","ptosis","EYE008","Myogenic ptosis of left eyelid                "
"609","H02.423","Ptosis of eyelid","ptosis","EYE008","Myogenic ptosis of bilateral eyelids                "
"610","H02.429","Ptosis of eyelid","ptosis","EYE008","Myogenic ptosis of unspecified eyelid                "
"611","H02.431","Ptosis of eyelid","ptosis","EYE008","Paralytic ptosis of right eyelid                "
